"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365CH","B365CD","B365CA"
"23/11/2024","Gaziantep","Buyuksehyr","3","0","H","2","0","H","15","15","7","6","19","12","2","6","2","1","0","0","2.6","3.4","2.6","2.45","3.4","2.8"
"23/11/2024","Kayserispor","Fenerbahce","2","6","A","1","3","A","16","17","2","10","11","11","10","5","4","3","0","0","7","4.33","1.44","6.25","4.2","1.5"
"23/11/2024","Bodrumspor","Galatasaray","0","1","A","0","0","D","9","23","2","7","10","10","7","9","3","2","1","0","7.5","4.5","1.42","7.5","5","1.38"
"24/11/2024","Sivasspor","Kasimpasa","0","0","D","0","0","D","11","19","5","2","22","12","5","4","3","1","0","0","2.75","3.4","2.45","3.1","3.25","2.3"
"24/11/2024","Konyaspor","Hatayspor","1","1","D","1","0","H","10","14","2","3","12","15","2","8","4","3","0","0","1.95","3.5","3.8","1.85","3.6","4.1"
"24/11/2024","Samsunspor","Alanyaspor","1","1","D","1","0","H","11","15","4","4","13","13","1","9","1","4","0","0","1.73","3.6","4.75","1.9","3.3","4.2"
"24/11/2024","Besiktas","Goztep","2","4","A","2","2","D","12","18","3","9","8","12","4","4","1","0","0","1","1.48","4.33","6.25","1.62","3.9","5.25"
"25/11/2024","Trabzonspor","Ad. Demirspor","5","0","H","1","0","H","23","10","8","3","20","9","8","1","1","2","0","0","1.48","4.5","6","1.5","4.5","5.5"
"29/11/2024","Antalyaspor","Sivasspor","2","1","H","1","1","D","16","17","7","4","16","14","9","5","0","0","0","0","1.95","3.5","3.7","2.05","3.5","3.4"
"30/11/2024","Samsunspor","Bodrumspor","4","0","H","1","0","H","15","7","6","0","14","9","3","4","0","0","0","0","1.67","3.5","5.5","1.55","3.9","6"
"30/11/2024","Ad. Demirspor","Konyaspor","0","1","A","0","0","D","13","15","4","5","10","16","1","9","2","3","0","0","3.4","3.25","2.15","3.6","3.3","2.05"
"30/11/2024","Alanyaspor","Trabzonspor","2","1","H","1","1","D","12","16","4","3","15","15","5","10","5","3","1","0","2.5","3.25","2.8","2.2","3.4","3.1"
"30/11/2024","Buyuksehyr","Goztep","4","1","H","4","0","H","13","6","7","2","6","19","5","5","2","3","0","0","2.38","3.25","3","2.25","3.2","3.3"
"01/12/2024","Rizespor","Kayserispor","3","0","H","1","0","H","12","8","6","2","9","11","3","8","4","4","0","1","1.83","3.6","4.2","1.7","3.8","4.75"
"01/12/2024","Galatasaray","Eyupspor","2","2","D","1","1","D","28","5","14","4","10","22","11","1","3","4","0","0","1.25","7","8.5","1.2","8","9.5"
"02/12/2024","Fenerbahce","Gaziantep","3","1","H","1","1","D","17","6","4","2","8","10","17","3","4","3","0","0","1.25","6.5","9","1.17","8.5","11"
"02/12/2024","Hatayspor","Besiktas","1","1","D","1","1","D","12","11","4","2","16","11","6","9","9","3","0","0","4.1","3.6","1.83","3.4","3.6","2"
"06/12/2024","Trabzonspor","Kasimpasa","2","2","D","0","1","A","20","9","7","3","14","14","8","1","2","4","0","0","1.85","3.6","4","1.85","3.6","4.1"
"07/12/2024","Konyaspor","Antalyaspor","1","1","D","1","0","H","17","11","5","2","20","13","5","3","3","1","0","0","2","3.3","3.7","2","3.4","3.7"
"07/12/2024","Goztep","Ad. Demirspor","3","1","H","2","0","H","26","12","7","5","16","4","7","6","2","1","1","0","1.3","5.25","9","1.25","5.75","10"
"07/12/2024","Besiktas","Fenerbahce","1","0","H","0","0","D","12","12","5","2","12","14","1","3","2","1","1","0","3.6","3.5","1.85","3.5","3.6","1.85"
"08/12/2024","Eyupspor","Samsunspor","3","0","H","0","0","D","15","12","5","2","14","18","5","3","2","2","0","0","2.88","3.3","2.38","2.63","3.4","2.55"
"08/12/2024","Kayserispor","Alanyaspor","2","0","H","0","0","D","11","9","6","5","15","10","5","10","5","3","0","0","2.3","3.3","3","2.5","3.3","2.75"
